Date,User,Tweets
2022-10-30 14:07:08+00:00,ImranKhanPTI,Shocked &amp; deeply saddened by the terrible accident that led to the death of Channel 5 reporter Sadaf Naeem during our March today. I have no words to express my sorrow. My prayers &amp; condolences go to the family at this tragic time. We have cancelled our March for today.
2022-10-29 17:37:22+00:00,ImranKhanPTI,"For all those spreading rumours about my mtg in Lahore, the reason we returned was bec Lahore was closer &amp; we had already decided not move at night. The only demand I have had for 6 mths is date for early fair &amp; free elections. That will be the ONLY demand if talks are to be held"
2022-10-28 18:43:41+00:00,ImranKhanPTI,Congratulations to Abid Zuberi on his election as President SCBA.
2022-10-24 11:28:55+00:00,ImranKhanPTI,We saw a foreign abetted regime change conspiracy taking place sending Pak into chaos. But senior Judiciary continues to remain aloof. When will the Judiciary move to act against State institutions that are defying all laws &amp; violating the Constitution? It is high time they did.
2022-10-24 11:28:54+00:00,ImranKhanPTI,"&amp; safeguarded against excesses by the State &amp; govt. We have seen citizens, politicians, journalists &amp; human rights defenders intimidated,arrested, charged with terrorism &amp; incitement to mutiny, tortured.We see fake cases, misuse of power by different executive branches expanding."
2022-10-24 11:28:53+00:00,ImranKhanPTI,Arshad Sharif's murder has sent shockwaves across Pak. It has highlighted an ongoing targeting of anyone who dares to criticise or question those holding power.When will our senior Judiciary act to ensure our citizens fundamental rights enshrined in the Constitution are protected
2022-10-24 07:48:41+00:00,ImranKhanPTI,My prayers and condolences go to his grief stricken family.
2022-10-24 07:48:40+00:00,ImranKhanPTI,"A proper judicial investigation must be instituted to examine his own statements plus evidence that other sources have. We have descended into a state of brutality, unknown in civilised society, indulged in by the powerful against those who dare to criticise &amp; expose wrongdoings"
2022-10-24 07:48:39+00:00,ImranKhanPTI,"Shocked at the brutal murder of Arshad Sharif who paid the ultimate price for speaking the truth - his life. He had to leave the country &amp; be in hiding abroad but he continued to speak the truth on social media, exposing the powerful. Today the entire nation mourns his death."
2022-10-20 03:52:10+00:00,ImranKhanPTI,Saddened to learn of young PTI tiger Taha Sheikh's death. On 7th Oct he was shot in front of his house in what looks like a targeted hit. Taha  succumbed to his injuries &amp; passed away. Sindh police has yet to arrest the culprits. My prayers &amp; condolences go to his family.
2022-10-19 17:08:11+00:00,ImranKhanPTI,"Strongly condemn the attack on PTI Karachi President MPA Bilal Ghafar by PPP goons lead by their MPA Saleem Baloch.
Surprised to see that police has still not registered FIR against the attackers even when many of them were eyewitness to this assassination attempt on Bilal."
2022-10-16 03:49:30+00:00,ImranKhanPTI,"Everyone must turnout to vote in all the constituencies where bye elections are being held today. This is a referendum for Haqiqi Azadi from the cabal of crooks. We are contesting against all of PDM, the Election Commission and ""namaloom afraad""."
2022-10-15 08:37:15+00:00,ImranKhanPTI,"My greatest worry is that apart from leading us to economic ruin &amp;, with NRO2 for themselves, giving a license to white collar criminals to plunder the country, this govt will also end up completely compromising our national security."
2022-10-15 08:37:14+00:00,ImranKhanPTI,"across the world, when has Pakistan shown aggression esp post-nuclearisation? Equally imp,this
Biden statement shows total failure of Imported govt's foreign policy &amp; its claims of ""reset of relations with US""? Is this the ""reset""?This govt has broken all records for incompetence"
2022-10-13 13:26:30+00:00,ImranKhanPTI,which He dispenses according to our deeds. Those who have allowed the biggest criminals not only to evade accountability after stealing billions from the nation but to come to power again are destined to be humiliated.
