content,created_at,date,likeCount,media,outlinks,quoteCount,quotedTweet,replyCount,retweetCount,retweetedTweet,url,id,conversationId
@ ava you sure made us wait long enough  # Nova #QueenSugar,Wed Nov 30 02:25:24 +0000 2022,2022-11-30 02:25:24+00:00,684,,[],12,,575,78,,https://twitter.com/Oprah/status/1597778792218386433,1597778792218386433,1597778792218386433
@ava You sure made us waitling enough,Wed Nov 30 02:23:48 +0000 2022,2022-11-30 02:23:48+00:00,134,,[],0,,14,14,,https://twitter.com/Oprah/status/1597778392178270209,1597778392178270209,1597778392178270209
@ava so great bringing Glynn Thurman back.  Sweet 😘 #queensugar,Wed Nov 30 02:00:41 +0000 2022,2022-11-30 02:00:41+00:00,107,,[],1,,9,7,,https://twitter.com/Oprah/status/1597772574494101504,1597772574494101504,1597772574494101504
@theSheenaB 90 min episode tonight y’all!,Wed Nov 30 01:37:08 +0000 2022,2022-11-30 01:37:08+00:00,10,,[],0,,6,2,,https://twitter.com/Oprah/status/1597766647393026048,1597766647393026048,1597765324606418945
“All  I do is regard you Darla”. I think Ralph Angel has been pretty understanding about the ex . #QueenSugar,Wed Nov 30 01:35:34 +0000 2022,2022-11-30 01:35:34+00:00,766,,[],22,,177,82,,https://twitter.com/Oprah/status/1597766251920576514,1597766251920576514,1597766251920576514
#QueenSugar Finale tonight at 8|9c on @OWNTV!! https://t.co/cd2ezhGJGN,Tue Nov 29 16:53:52 +0000 2022,2022-11-29 16:53:52+00:00,636,,['https://time.com/6235587/queen-sugar-finale-legacy/'],21,,1,145,,https://twitter.com/Oprah/status/1597634963830353920,1597634963830353920,1597634963830353920
"It’s time for @Oprah’s Favorite Things! Whatever gift you choose, let the message behind it be: “I appreciate you. I see you. You matter to me.” Click here for the complete list: https://t.co/hnLfCjo3O3 https://t.co/IvUZeM36Wi",Tue Nov 01 12:37:15 +0000 2022,2022-11-01 12:37:15+00:00,1463,"[Photo(previewUrl='https://pbs.twimg.com/media/FgepHJjWAAE4N9n?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FgepHJjWAAE4N9n?format=jpg&name=large', type='photo')]",['https://www.oprahdaily.com/life/a41652152/oprahs-favorite-things-2022/'],77,,0,278,,https://twitter.com/Oprah/status/1587423523726843906,1587423523726843906,1587423523726843906
"We created a place to gather stories of Black women that honor our identity, beauty, and humanity through the lens of our hair. I hope you can join us on this wondrous world of our hair!",Sat Oct 22 15:15:09 +0000 2022,2022-10-22 15:15:09+00:00,716,,[],8,,0,94,,https://twitter.com/Oprah/status/1583839380414038017,1583839380414038017,1583839374277750787
"The first two episodes of #TheHairTales, executive produced by @TraceeEllisRoss, @MichaelaangelaD, @OnyxCollective, culture house Media, and me, are available right now on @hulu and also air tonight at 9|8c on @OWNTV. https://t.co/QjdAjowyJy",Sat Oct 22 15:15:07 +0000 2022,2022-10-22 15:15:07+00:00,1559,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1583839287451213824/pu/img/LOdao40tnzUIEPec.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1583839287451213824/pu/vid/480x852/r8ILPBR2iZuGNIrP.mp4?tag=12', bitrate=950000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1583839287451213824/pu/pl/oFPTCWtRqOe8FnBO.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1583839287451213824/pu/vid/720x1280/ISGpHlqD2QnGbVon.mp4?tag=12', bitrate=2176000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1583839287451213824/pu/vid/320x568/1HCgzssKf8Hae2ob.mp4?tag=12', bitrate=632000)], duration=21.6, type='video')]",[],45,,1,236,,https://twitter.com/Oprah/status/1583839374277750787,1583839374277750787,1583839374277750787
Which is why I’m sitting down with Stacey to speak with her about why she’s running for governor and how we can write the next greatest chapter in Georgia’s history. RSVP at https://t.co/VvZX2WqQ2A. Hope y’all can join us!,Wed Oct 19 23:14:46 +0000 2022,2022-10-19 23:14:46+00:00,790,,['http://staceyabrams.com/oprah'],29,,0,198,,https://twitter.com/Oprah/status/1582872915749482497,1582872915749482497,1582872910972473345
Leadership is about empathy. It’s about having the ability to relate to and connect with people for the purpose of inspiring and empowering their lives. And @staceyabrams is exactly the type of leader we need to guide the people of Georgia. https://t.co/o6Acn8A3xo,Wed Oct 19 23:14:44 +0000 2022,2022-10-19 23:14:44+00:00,4738,"[Photo(previewUrl='https://pbs.twimg.com/media/Ffd-gtDWYAAErvS?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Ffd-gtDWYAAErvS?format=jpg&name=large', type='photo')]",[],230,,1,1184,,https://twitter.com/Oprah/status/1582872910972473345,1582872910972473345,1582872910972473345
Join us now! https://t.co/64f5SwBOsS,Tue Oct 11 22:59:28 +0000 2022,2022-10-11 22:59:28+00:00,258,,['https://twitter.com/OprahDaily/status/1579968850564554752'],12,https://twitter.com/OprahDaily/status/1579968850564554752,0,41,,https://twitter.com/Oprah/status/1579969963095633920,1579969963095633920,1579969963095633920
Book lovers unite! I’m excited to join our forever First Lady @MichelleObama on her #TheLightWeCarry Tour in Los Angeles on December 13 to discuss her new book. Head to https://t.co/vNBXLE8V0q for tickets and hope to see you there 📖 https://t.co/3nOJr7rigS,Wed Oct 05 13:56:47 +0000 2022,2022-10-05 13:56:47+00:00,2032,"[Photo(previewUrl='https://pbs.twimg.com/media/FeT4hHWWQAQTJTU?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FeT4hHWWQAQTJTU?format=jpg&name=large', type='photo')]",['http://michelleobamabooks.com'],70,,0,347,,https://twitter.com/Oprah/status/1577659065559384065,1577659065559384065,1577659065559384065
@imaginedbydavid 😂😂😂,Wed Oct 05 02:31:24 +0000 2022,2022-10-05 02:31:24+00:00,8,,[],0,,14,0,,https://twitter.com/Oprah/status/1577486583363608576,1577486583363608576,1577485759795167232
@BlkLibraryGirl Hey ms.Honoree!,Wed Oct 05 02:31:01 +0000 2022,2022-10-05 02:31:01+00:00,63,,[],0,,14,5,,https://twitter.com/Oprah/status/1577486488790454272,1577486488790454272,1577482997883752448
@kachelle2006 Yes did you check the shade when he said “plumber”? #CherishTheDay,Wed Oct 05 01:14:16 +0000 2022,2022-10-05 01:14:16+00:00,18,,[],0,,6,2,,https://twitter.com/Oprah/status/1577467172342726656,1577467172342726656,1577466494866202625
@jujoffer No,Wed Oct 05 01:12:32 +0000 2022,2022-10-05 01:12:32+00:00,10,,[],0,,2,0,,https://twitter.com/Oprah/status/1577466736969801728,1577466736969801728,1577464545249226752
@nomoreworries2 Yes Lawd!😍,Wed Oct 05 01:11:27 +0000 2022,2022-10-05 01:11:27+00:00,9,,[],1,,1,1,,https://twitter.com/Oprah/status/1577466464210075649,1577466464210075649,1577466168310259712
"@mztronnie @ava @BiancaLawson @QueenSugarOWN Me too, wrenching scene! #queensugar",Wed Oct 05 01:06:48 +0000 2022,2022-10-05 01:06:48+00:00,13,,[],0,,0,0,,https://twitter.com/Oprah/status/1577465295198773248,1577465295198773248,1577464485966536704
Season two of @CherishDayOWN is back today on @OWNTV at 9|8c! A new season means a new love story—and you’re going to fall head over heels for Henry Simmons. Trust me ladies! https://t.co/fQ2TEv3RnD,Tue Oct 04 22:14:12 +0000 2022,2022-10-04 22:14:12+00:00,409,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1577421274741149696/pu/img/O9Z3g8mrrk6OFmvB.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1577421274741149696/pu/vid/480x270/2zSUsjUATuVtIhCU.mp4?tag=12', bitrate=256000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1577421274741149696/pu/vid/1280x720/OEFmlcXJjB1sCWki.mp4?tag=12', bitrate=2176000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1577421274741149696/pu/pl/es00QExpaa7FEOJV.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1577421274741149696/pu/vid/640x360/KMt7CeQZPD2l8JCk.mp4?tag=12', bitrate=832000)], duration=30.03, type='video')]",[],20,,0,67,,https://twitter.com/Oprah/status/1577421856784539648,1577421856784539648,1577421856784539648
Thank you @Variety for spotlighting this incredible feat—we hope it inspires generations to come. #PowerOfWomen https://t.co/KjXiYJyRtm,Wed Sep 28 00:54:36 +0000 2022,2022-09-28 00:54:36+00:00,752,"[Photo(previewUrl='https://pbs.twimg.com/media/FdtCWaBVEAAq9L-?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FdtCWaBVEAAq9L-?format=jpg&name=large', type='photo'), Photo(previewUrl='https://pbs.twimg.com/media/FdtCW-0UUAADviy?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FdtCW-0UUAADviy?format=jpg&name=large', type='photo')]",[],13,,0,68,,https://twitter.com/Oprah/status/1574925508046790656,1574925508046790656,1574925502359293952
"When we started @QueenSugarOWN, @ava called me saying, “I have this idea: What if we just have all women directors?” Her vision led to 7 seasons, 88 episodes, &amp; 42 women calling, “Action!” And to that I say, take your bow Ava! https://t.co/wig9qrjz0a",Wed Sep 28 00:54:35 +0000 2022,2022-09-28 00:54:35+00:00,2389,"[Photo(previewUrl='https://pbs.twimg.com/media/FdtB8ZQVIAA3qCe?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FdtB8ZQVIAA3qCe?format=jpg&name=large', type='photo')]",[],43,,1,283,,https://twitter.com/Oprah/status/1574925502359293952,1574925502359293952,1574925502359293952
What I know for sure is that Janine and Gregory better get together by first period #AbbottElem https://t.co/vH9FtJUnpo https://t.co/fH3dfptjVU,Wed Sep 28 00:06:16 +0000 2022,2022-09-28 00:06:16+00:00,19431,"[Gif(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/Fds3VdaVsAAxlt8.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/tweet_video/Fds3VdaVsAAxlt8.mp4', bitrate=None)], type='gif')]",['https://twitter.com/quintabrunson/status/1574883434744332288'],466,https://twitter.com/quintabrunson/status/1574883434744332288,0,2092,,https://twitter.com/Oprah/status/1574913343185264641,1574913343185264641,1574913343185264641
