content,created_at,date,likeCount,media,outlinks,quoteCount,quotedTweet,replyCount,retweetCount,retweetedTweet,url,id,conversationId
"Ah thanks @LinkedIn , these emails are so encouraging 😃 https://t.co/oiPDA290ba",Fri Dec 09 04:23:32 +0000 2022,2022-12-09 04:23:32+00:00,155,"[Photo(previewUrl='https://pbs.twimg.com/media/FjgksUOUYAI-vAR?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FjgksUOUYAI-vAR?format=jpg&name=large', type='photo')]",[],0,,6,0,,https://twitter.com/zachking/status/1601070013569376256,1601070013569376256,1601070013569376256
@koreykuhl Let’s go!,Thu Dec 08 05:50:14 +0000 2022,2022-12-08 05:50:14+00:00,7,,[],0,,0,0,,https://twitter.com/zachking/status/1600729445249126401,1600729445249126401,1600718064890179586
@ijustine 👋,Fri Nov 18 05:39:42 +0000 2022,2022-11-18 05:39:42+00:00,13,,[],0,,1,0,,https://twitter.com/zachking/status/1593479035928993792,1593479035928993792,1593477664374824961
@airrack @MrBeast Let’s go!,Mon Nov 14 23:56:27 +0000 2022,2022-11-14 23:56:27+00:00,60,,[],0,,0,0,,https://twitter.com/zachking/status/1592305493594509312,1592305493594509312,1592303223330996226
"@matthew__ashton Powerful shot, thx for sharing this intimate moment. ♥️",Sun Nov 13 05:44:11 +0000 2022,2022-11-13 05:44:11+00:00,1,,[],0,,0,0,,https://twitter.com/zachking/status/1591668227675148288,1591668227675148288,1591482891959156736
Knights and wizard production https://t.co/W2s2SuIedM,Wed Nov 02 22:39:06 +0000 2022,2022-11-02 22:39:06+00:00,139,"[Photo(previewUrl='https://pbs.twimg.com/media/Fgl8nwqVIAA9DOP?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fgl8nwqVIAA9DOP?format=jpg&name=large', type='photo')]",[],0,,2,4,,https://twitter.com/zachking/status/1587937371290419201,1587937371290419201,1587937371290419201
@elonmusk ❤️,Mon Oct 31 14:35:58 +0000 2022,2022-10-31 14:35:58+00:00,169,,[],0,,7,3,,https://twitter.com/zachking/status/1587091010114318336,1587091010114318336,1586918804780630016
@streamys @ButteredSideDwn @CorridorDigital @sokrispymedia In great company!,Thu Oct 27 17:06:26 +0000 2022,2022-10-27 17:06:26+00:00,8,,[],0,,0,0,,https://twitter.com/zachking/status/1585679327424786432,1585679327424786432,1585666874548768768
"@tldtoday Haha! When you get a 8/10 and it picks up in the algorithm, almost achieves 2/10…declines to 10/10",Mon Oct 24 02:59:38 +0000 2022,2022-10-24 02:59:38+00:00,5,,[],0,,1,1,,https://twitter.com/zachking/status/1584379058539724800,1584379058539724800,1584231169234595840
@MichelleKhare Holy timeline!,Sat Oct 22 19:16:43 +0000 2022,2022-10-22 19:16:43+00:00,8,,[],0,,0,0,,https://twitter.com/zachking/status/1583900175591821313,1583900175591821313,1583896639613198336
@imwaleedq @YouTubeIndia Woah that’s a throw back,Fri Oct 21 16:19:27 +0000 2022,2022-10-21 16:19:27+00:00,10,,[],0,,1,1,,https://twitter.com/zachking/status/1583493173745053696,1583493173745053696,1583437991267414016
Starting to build the new cold plunge and I can’t believe the size of this freezer! https://t.co/OsZa42Al32,Fri Oct 21 16:19:26 +0000 2022,2022-10-21 16:19:26+00:00,175,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1583493107894452227/pu/img/a_XQUJW8mZt928go.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1583493107894452227/pu/vid/720x1280/7eS-nMMSw941NptK.mp4?tag=12', bitrate=2176000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1583493107894452227/pu/vid/480x852/UQunAcxoEy6n0cqr.mp4?tag=12', bitrate=950000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1583493107894452227/pu/vid/320x568/XD7TRPb9QrLSp3wT.mp4?tag=12', bitrate=632000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1583493107894452227/pu/pl/gw9Jftes32QogXYV.m3u8?tag=12&container=fmp4', bitrate=None)], duration=6.913, type='video')]",[],0,,4,8,,https://twitter.com/zachking/status/1583493169395531781,1583493169395531781,1583493169395531781
"Last year I won 1,000,000 from @MrBeast in a game of hide and seek (i know, can't believe that's a real sentence either). I had the pleasure of giving away 850k earlier this year to fans and charities and I've just finished giving away the remaining 150k. https://t.co/Vyk4neIW4P",Wed Oct 19 16:03:55 +0000 2022,2022-10-19 16:03:55+00:00,158,,['https://www.youtube.com/watch?v=9rIayfvkKyY'],0,,4,5,,https://twitter.com/zachking/status/1582764491728568321,1582764491728568321,1582764491728568321
@MichelleKhare Congrates you guys!!!,Mon Oct 17 22:56:42 +0000 2022,2022-10-17 22:56:42+00:00,10,,[],0,,0,0,,https://twitter.com/zachking/status/1582143595272089601,1582143595272089601,1582035540366401536
"@arunnkumar Sorry Arun, that is defensively an imposter or spam! Do not respond to them. Thx",Sat Oct 15 08:46:55 +0000 2022,2022-10-15 08:46:55+00:00,0,,[],0,,0,0,,https://twitter.com/zachking/status/1581204965053194244,1581204965053194244,1581142993066917889
"I’m making my biggest video ever thanks to @grubhub! Use code ZACH for $5 off your next order and the chance to win a TON of merch, signed by me! 

Who’s hungry? Go use the code! https://t.co/mH71czj7oT #ad 

NoPurchNec.VoidWhereProhib.Rules: https://t.co/k1SwXoUH8y https://t.co/fd8O9Ucw2R",Thu Oct 13 15:00:06 +0000 2022,2022-10-13 15:00:06+00:00,412,"[Gif(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/Fe9TZeBUYAARsGa.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/tweet_video/Fe9TZeBUYAARsGa.mp4', bitrate=None)], type='gif')]","['https://grhb.me/zachking', 'https://grhb.me/gxzks']",1,,7,18,,https://twitter.com/zachking/status/1580574101411835904,1580574101411835904,1580574101411835904
"@GloomWarrior Seriously, so proud of everyone that worked on the short film!",Thu Oct 06 20:50:56 +0000 2022,2022-10-06 20:50:56+00:00,4,,[],0,,0,0,,https://twitter.com/zachking/status/1578125677949173765,1578125677949173765,1578124678131875840
I can't believe my new short film is finally out! https://t.co/xhNLZDtgJ4 https://t.co/JmGwHGzYT6,Thu Oct 06 20:46:58 +0000 2022,2022-10-06 20:46:58+00:00,154,"[Gif(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/Feafq3MVUAEBTiH.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/tweet_video/Feafq3MVUAEBTiH.mp4', bitrate=None)], type='gif')]",['https://www.youtube.com/watch?v=CKZ_4W70YZI'],2,,6,16,,https://twitter.com/zachking/status/1578124678131875840,1578124678131875840,1578124678131875840
"@MarkSommerville @SouthwestAir Gotta appreciate the humor, proves they aren’t tewnched…",Tue Oct 04 02:56:22 +0000 2022,2022-10-04 02:56:22+00:00,1,,[],0,,0,0,,https://twitter.com/zachking/status/1577130477122596864,1577130477122596864,1577087268728500224
